unique_id,source,company,scrip_code,headline,published_date,url,raw_text,collected_at,event_type,priority,research_score
770ab07cfc0f02df,BSE,Aditya Birla Housing Finance Ltd,976488,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,20-Sep-2026 13:10:54,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4a1e0218-db47-41f4-982c-dacd4cd7c382.pdf,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,2026-09-20T08:31:08.157677+00:00,Management Change,MEDIUM,40
2f23c743ea81a17c,BSE,Aditya Birla Housing Finance Ltd,976394,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,20-Sep-2026 13:10:54,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4a1e0218-db47-41f4-982c-dacd4cd7c382.pdf,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,2026-09-20T08:31:08.157696+00:00,Management Change,MEDIUM,40
22ebcf247314bf54,BSE,Aditya Birla Housing Finance Ltd,976393,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,20-Sep-2026 13:10:54,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4a1e0218-db47-41f4-982c-dacd4cd7c382.pdf,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,2026-09-20T08:31:08.157714+00:00,Management Change,MEDIUM,40
bdf6d08c4696957a,BSE,Aditya Birla Housing Finance Ltd,976340,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,20-Sep-2026 13:10:54,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4a1e0218-db47-41f4-982c-dacd4cd7c382.pdf,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,2026-09-20T08:31:08.157732+00:00,Management Change,MEDIUM,40
d5980c39fafc3666,BSE,Aditya Birla Housing Finance Ltd,976229,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,20-Sep-2026 13:10:54,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4a1e0218-db47-41f4-982c-dacd4cd7c382.pdf,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,2026-09-20T08:31:08.157751+00:00,Management Change,MEDIUM,40
952302f602358af3,BSE,Aditya Birla Housing Finance Ltd,976156,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,20-Sep-2026 13:10:54,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4a1e0218-db47-41f4-982c-dacd4cd7c382.pdf,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,2026-09-20T08:31:08.157769+00:00,Management Change,MEDIUM,40
a3cc3ae382164d89,BSE,Aditya Birla Housing Finance Ltd,976004,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,20-Sep-2026 13:10:54,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4a1e0218-db47-41f4-982c-dacd4cd7c382.pdf,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,2026-09-20T08:31:08.157789+00:00,Management Change,MEDIUM,40
5ba2f08d79f0daa6,BSE,Aditya Birla Housing Finance Ltd,975989,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,20-Sep-2026 13:10:54,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4a1e0218-db47-41f4-982c-dacd4cd7c382.pdf,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,2026-09-20T08:31:08.157808+00:00,Management Change,MEDIUM,40
889c44df94696e89,BSE,Aditya Birla Housing Finance Ltd,975891,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,20-Sep-2026 13:10:54,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4a1e0218-db47-41f4-982c-dacd4cd7c382.pdf,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,2026-09-20T08:31:08.157826+00:00,Management Change,MEDIUM,40
6d680ac7695ed3c0,BSE,Aditya Birla Housing Finance Ltd,975860,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,20-Sep-2026 13:10:54,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4a1e0218-db47-41f4-982c-dacd4cd7c382.pdf,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,2026-09-20T08:31:08.157845+00:00,Management Change,MEDIUM,40
3390aa80504a08ce,BSE,Aditya Birla Housing Finance Ltd,975821,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,20-Sep-2026 13:10:54,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4a1e0218-db47-41f4-982c-dacd4cd7c382.pdf,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,2026-09-20T08:31:08.157864+00:00,Management Change,MEDIUM,40
6abdc17f305160fc,BSE,Aditya Birla Housing Finance Ltd,975820,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,20-Sep-2026 13:10:54,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4a1e0218-db47-41f4-982c-dacd4cd7c382.pdf,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,2026-09-20T08:31:08.157883+00:00,Management Change,MEDIUM,40
db636ea469bfa659,BSE,Aditya Birla Housing Finance Ltd,975525,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,20-Sep-2026 13:10:54,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4a1e0218-db47-41f4-982c-dacd4cd7c382.pdf,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,2026-09-20T08:31:08.157901+00:00,Management Change,MEDIUM,40
23d091cedcb00fe7,BSE,Aditya Birla Housing Finance Ltd,975455,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,20-Sep-2026 13:10:54,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4a1e0218-db47-41f4-982c-dacd4cd7c382.pdf,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,2026-09-20T08:31:08.157920+00:00,Management Change,MEDIUM,40
04c13cc0af5f59f2,BSE,Aditya Birla Housing Finance Ltd,975355,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,20-Sep-2026 13:10:54,https://www.bseindia.com/xml-data/corpfiling/AttachLive/4a1e0218-db47-41f4-982c-dacd4cd7c382.pdf,Intimation for Appointment of Additional Non-Executive Non - Independent Directors and Additional Non-Executive Independent Director of the Company.,2026-09-20T08:31:08.157939+00:00,Management Change,MEDIUM,40
